Status,Seniority,Home,Marital,Records,Job,Income,Debt,Savings
good,9,rent,married,no_rec,freelance,129,0,4.2
good,17,rent,widow,no_rec,fixed,131,0,4.98
bad,10,owner,married,yes_rec,freelance,200,0,1.98
good,0,rent,single,no_rec,fixed,182,0,7.933333333
good,0,rent,single,no_rec,fixed,107,0,7.083870968
good,1,owner,married,no_rec,fixed,214,0,12.83076923
good,29,owner,married,no_rec,fixed,125,0,1.875
good,9,parents,single,no_rec,fixed,80,0,2.7
good,0,owner,married,no_rec,freelance,107,0,0.85
bad,0,parents,married,no_rec,partime,80,0,-0.4
good,6,owner,married,no_rec,freelance,125,0,2.713043478
good,7,owner,married,no_rec,fixed,121,0,3.378461538
good,8,owner,married,no_rec,fixed,199,2500,3.96
good,19,priv,married,no_rec,fixed,170,260,5.544
bad,0,other,single,yes_rec,partime,50,0,0.675
good,0,owner,married,no_rec,fixed,131,0,1.493333333
good,15,priv,single,no_rec,freelance,330,0,4.72
good,33,rent,married,no_rec,freelance,200,2000,4.6
bad,0,ignore,married,no_rec,partime,130,0,3.709090909
good,1,parents,single,no_rec,fixed,137,0,4.896
bad,2,rent,single,no_rec,fixed,107,0,2.44
good,5,owner,single,no_rec,fixed,324,0,15.21818182
bad,1,owner,married,no_rec,partime,112,500,0.2
good,27,rent,married,no_rec,fixed,140,0,4.168421053
good,26,owner,married,no_rec,fixed,143,0,4.355555556
good,12,owner,married,no_rec,fixed,130,0,3.6
good,19,owner,single,no_rec,fixed,180,0,6.3
good,15,owner,married,no_rec,fixed,251,0,3.52
bad,3,owner,married,no_rec,fixed,85,0,0.4
good,4,owner,married,no_rec,fixed,150,3300,3.141818182
bad,0,owner,single,no_rec,partime,122,0,6.93
good,14,priv,married,no_rec,partime,198,0,6.56
good,10,owner,married,no_rec,freelance,150,0,2.7
good,12,parents,single,no_rec,fixed,170,0,4.418181818
good,32,owner,married,no_rec,freelance,119,0,2.537142857
good,10,owner,married,no_rec,freelance,208,0,7.824
good,7,owner,married,no_rec,fixed,115,0,2.4
bad,1,rent,married,no_rec,fixed,99,0,1.648421053
good,30,owner,married,no_rec,fixed,120,0,4
bad,5,rent,single,no_rec,fixed,90,0,1.698461538
good,24,owner,married,no_rec,fixed,137,0,4.133333333
good,0,owner,widow,no_rec,others,230,0,12.31578947
bad,0,owner,married,yes_rec,fixed,142,3000,3.216
bad,2,owner,married,no_rec,partime,71,0,-0.16
good,1,parents,single,no_rec,partime,120,0,4.434782609
good,1,owner,widow,no_rec,freelance,233,4500,4.371428571
good,15,owner,married,no_rec,fixed,289,0,5.136
bad,2,rent,separated,no_rec,fixed,128,0,6.4
good,25,owner,married,no_rec,freelance,150,0,4.32
good,8,owner,married,no_rec,fixed,145,1000,2.8125
good,5,owner,married,no_rec,fixed,90,0,1
good,0,rent,married,no_rec,fixed,301,0,9.8
good,5,owner,married,no_rec,freelance,200,1200,4.52
good,3,parents,married,no_rec,freelance,150,0,2.16
bad,1,rent,married,yes_rec,freelance,100,0,0.72
good,7,parents,single,no_rec,fixed,100,0,3.9
good,4,parents,single,no_rec,fixed,100,0,3.3
good,6,owner,married,no_rec,fixed,155,0,3.8
good,14,owner,married,no_rec,fixed,715,0,18.75
good,3,rent,married,no_rec,fixed,245,0,5.737704918
good,8,rent,married,no_rec,fixed,150,0,2.618181818
bad,4,parents,single,no_rec,fixed,70,0,2.45
good,22,owner,married,no_rec,fixed,190,0,2.76
good,2,owner,married,no_rec,fixed,152,0,2.772
good,15,priv,married,no_rec,fixed,126,0,2.266666667
good,10,owner,married,no_rec,freelance,181,0,3.18
good,4,owner,married,no_rec,fixed,185,0,6.25
good,9,owner,married,no_rec,fixed,170,0,8.823529412
good,22,rent,married,no_rec,fixed,176,0,2.49
good,18,parents,married,no_rec,freelance,238,0,7.12
good,1,priv,married,no_rec,fixed,115,800,2.82
good,14,owner,married,no_rec,fixed,200,0,12.4
good,8,owner,married,yes_rec,freelance,411,4000,13.32
good,5,owner,married,no_rec,fixed,93,0,0.617142857
good,19,rent,married,no_rec,fixed,108,0,1.32
good,14,owner,married,no_rec,freelance,500,0,9.84
good,0,other,married,yes_rec,others,45,0,0
good,9,rent,married,no_rec,fixed,250,0,3.702857143
good,29,owner,married,no_rec,fixed,100,0,2.933333333
good,10,owner,married,no_rec,fixed,70,0,0.36
good,10,parents,married,no_rec,fixed,150,0,5.890909091
bad,1,owner,married,no_rec,fixed,70,0,0.423529412
good,11,owner,divorced,yes_rec,fixed,263,0,13.68
good,10,owner,married,no_rec,freelance,200,0,7.5
good,5,owner,single,no_rec,fixed,78,3000,0.624
good,10,rent,single,no_rec,fixed,120,0,7.3
good,27,owner,married,no_rec,fixed,125,0,2.734922861
bad,0,rent,single,no_rec,partime,50,0,0.576923077
bad,25,rent,married,no_rec,fixed,146,0,5.16
good,3,parents,single,no_rec,fixed,70,0,2.210526316
bad,9,parents,single,yes_rec,fixed,105,0,2.818791946
good,4,rent,married,no_rec,freelance,413,0,14.976
good,6,rent,married,no_rec,freelance,500,21400,8.595
good,9,rent,married,no_rec,freelance,350,0,7.2
good,3,owner,married,no_rec,freelance,200,0,4.5
bad,22,other,married,no_rec,fixed,138,0,13.392
good,3,owner,widow,no_rec,others,80,0,2.842105263
good,30,owner,married,no_rec,freelance,208,0,2.112
good,8,rent,married,no_rec,fixed,137,0,3.6
good,38,owner,married,no_rec,freelance,58,0,0.416
good,2,rent,married,no_rec,fixed,130,0,3.109090909
good,4,owner,married,no_rec,fixed,123,1000,3.8
bad,0,rent,married,no_rec,partime,180,0,5.649230769
bad,2,other,single,no_rec,fixed,140,0,2.584615385
good,8,owner,married,no_rec,fixed,315,0,14.4
bad,1,rent,married,no_rec,partime,164,0,3.52
bad,6,parents,married,no_rec,freelance,325,0,11.75
good,5,owner,married,no_rec,fixed,135,1400,2.85
bad,13,parents,single,no_rec,fixed,109,0,7.611428571
good,11,rent,married,no_rec,fixed,185,0,6.694736842
good,10,owner,married,no_rec,fixed,217,3000,2.272
bad,20,owner,married,no_rec,freelance,300,2500,8.28358209
bad,0,owner,single,no_rec,freelance,77,0,1.512
good,13,owner,married,no_rec,fixed,253,0,13.82686567
bad,2,owner,married,no_rec,fixed,101,400,0.66
bad,3,owner,married,yes_rec,freelance,200,0,7.425
good,12,owner,married,no_rec,fixed,124,0,3.834782609
good,20,owner,married,no_rec,fixed,143,0,2.475789474
good,3,priv,separated,no_rec,freelance,250,1500,13.71428571
good,27,owner,married,no_rec,fixed,135,1000,5
good,4,rent,married,no_rec,fixed,115,0,3.866666667
bad,1,owner,married,no_rec,partime,160,3000,1.833333333
good,18,rent,married,no_rec,fixed,214,0,6.830769231
good,12,rent,married,no_rec,fixed,390,0,15.05454545
good,12,owner,separated,no_rec,freelance,500,0,9.176470588
bad,0,parents,single,no_rec,partime,95,0,2.571428571
good,12,owner,married,no_rec,fixed,200,0,4.838709677
good,0,parents,single,no_rec,partime,85,0,1.846153846
good,10,other,married,no_rec,fixed,214,0,2.232
good,2,owner,married,no_rec,fixed,140,0,4.105263158
