Status,Seniority,Home,Time,Marital,Records,Job,Expenses,Income,Debt,Amount,Price,Savings
good,9,rent,60,married,no_rec,freelance,73,129,0,800,846,4.2
good,17,rent,60,widow,no_rec,fixed,48,131,0,1000,1658,4.98
bad,10,owner,36,married,yes_rec,freelance,90,200,0,2000,2985,1.98
good,0,rent,60,single,no_rec,fixed,63,182,0,900,1325,7.933333333
good,0,rent,36,single,no_rec,fixed,46,107,0,310,910,7.083870968
good,1,owner,60,married,no_rec,fixed,75,214,0,650,1645,12.83076923
good,29,owner,60,married,no_rec,fixed,75,125,0,1600,1800,1.875
good,9,parents,12,single,no_rec,fixed,35,80,0,200,1093,2.7
good,0,owner,60,married,no_rec,freelance,90,107,0,1200,1957,0.85
bad,0,parents,48,married,no_rec,partime,90,80,0,1200,1468,-0.4
good,6,owner,48,married,no_rec,freelance,60,125,0,1150,1577,2.713043478
good,7,owner,36,married,no_rec,fixed,60,121,0,650,915,3.378461538
good,8,owner,60,married,no_rec,fixed,75,199,2500,1500,1650,3.96
good,19,priv,36,married,no_rec,fixed,75,170,260,600,940,5.544
bad,0,other,18,single,yes_rec,partime,35,50,0,400,500,0.675
good,0,owner,24,married,no_rec,fixed,75,131,0,900,1186,1.493333333
good,15,priv,24,single,no_rec,freelance,35,330,0,1500,2201,4.72
good,33,rent,24,married,no_rec,freelance,65,200,2000,600,1350,4.6
bad,0,ignore,48,married,no_rec,partime,45,130,0,1100,1511,3.709090909
good,1,parents,60,single,no_rec,fixed,35,137,0,1250,1253,4.896
bad,2,rent,60,single,no_rec,fixed,46,107,0,1500,2189,2.44
good,5,owner,60,single,no_rec,fixed,45,324,0,1100,1159,15.21818182
bad,1,owner,60,married,no_rec,partime,105,112,500,600,1332,0.2
good,27,rent,60,married,no_rec,fixed,74,140,0,950,1497,4.168421053
good,26,owner,60,married,no_rec,fixed,45,143,0,1350,1357,4.355555556
good,12,owner,36,married,no_rec,fixed,60,130,0,700,2100,3.6
good,19,owner,60,single,no_rec,fixed,75,180,0,1000,1070,6.3
good,15,owner,36,married,no_rec,fixed,75,251,0,1800,2557,3.52
bad,3,owner,24,married,no_rec,fixed,75,85,0,600,1600,0.4
good,4,owner,48,married,no_rec,fixed,45,150,3300,1100,1312,3.141818182
bad,0,owner,36,single,no_rec,partime,45,122,0,400,400,6.93
good,14,priv,24,married,no_rec,partime,75,198,0,450,650,6.56
good,10,owner,36,married,no_rec,freelance,75,150,0,1000,1394,2.7
good,12,parents,36,single,no_rec,fixed,35,170,0,1100,1542,4.418181818
good,32,owner,24,married,no_rec,freelance,45,119,0,700,1200,2.537142857
good,10,owner,24,married,no_rec,freelance,45,208,0,500,1560,7.824
good,7,owner,48,married,no_rec,fixed,75,115,0,800,1200,2.4
bad,1,rent,54,married,no_rec,fixed,70,99,0,950,950,1.648421053
good,30,owner,60,married,no_rec,fixed,45,120,0,1125,1300,4
bad,5,rent,48,single,no_rec,fixed,44,90,0,1300,1700,1.698461538
good,24,owner,60,married,no_rec,fixed,75,137,0,900,1167,4.133333333
good,0,owner,60,widow,no_rec,others,35,230,0,950,1150,12.31578947
bad,0,owner,60,married,yes_rec,fixed,45,142,3000,1250,1566,3.216
bad,2,owner,60,married,no_rec,partime,75,71,0,1500,1552,-0.16
good,1,parents,60,single,no_rec,partime,35,120,0,1150,1300,4.434782609
good,1,owner,60,widow,no_rec,freelance,35,233,4500,2100,2104,4.371428571
good,15,owner,36,married,no_rec,fixed,75,289,0,1500,2154,5.136
bad,2,rent,36,separated,no_rec,fixed,48,128,0,450,545,6.4
good,25,owner,36,married,no_rec,freelance,60,150,0,750,1778,4.32
good,8,owner,60,married,no_rec,fixed,60,145,1000,1600,1718,2.8125
good,5,owner,60,married,no_rec,fixed,75,90,0,900,1500,1
good,0,rent,60,married,no_rec,fixed,105,301,0,1200,1274,9.8
good,5,owner,36,married,no_rec,freelance,75,200,1200,900,1015,4.52
good,3,parents,12,married,no_rec,freelance,60,150,0,500,1701,2.16
bad,1,rent,48,married,yes_rec,freelance,85,100,0,1000,1345,0.72
good,7,parents,60,single,no_rec,fixed,35,100,0,1000,1238,3.9
good,4,parents,30,single,no_rec,fixed,45,100,0,500,1048,3.3
good,6,owner,24,married,no_rec,fixed,60,155,0,600,1048,3.8
good,14,owner,24,married,no_rec,fixed,90,715,0,800,1324,18.75
good,3,rent,60,married,no_rec,fixed,70,245,0,1830,2201,5.737704918
good,8,rent,48,married,no_rec,fixed,90,150,0,1100,1430,2.618181818
bad,4,parents,42,single,no_rec,fixed,35,70,0,600,926,2.45
good,22,owner,24,married,no_rec,fixed,75,190,0,1000,1500,2.76
good,2,owner,36,married,no_rec,fixed,75,152,0,1000,1542,2.772
good,15,priv,60,married,no_rec,fixed,75,126,0,1350,1360,2.266666667
good,10,owner,18,married,no_rec,freelance,75,181,0,600,1000,3.18
good,4,owner,60,married,no_rec,fixed,60,185,0,1200,1564,6.25
